               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              1.3188,              1.1491,              1.7135,             0.84677,             0.80037,              0.8788,             0.64401,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.3083,              1.1417,              1.7108,             0.84312,             0.80852,             0.87902,             0.64528,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.3137,              1.1382,              1.7102,              0.8391,             0.81206,             0.87958,             0.64645,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.3027,              1.1201,               1.709,             0.84855,             0.80577,              0.8798,             0.64674,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.2998,              1.1126,              1.6976,             0.83759,             0.81769,              0.8804,             0.64728,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.2891,              1.1078,              1.6935,             0.83938,             0.81419,             0.88019,             0.64753,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.2821,              1.0968,               1.684,             0.84612,             0.81161,             0.88125,             0.64831,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,               1.283,              1.1009,               1.684,             0.84507,              0.8134,             0.88102,             0.64832,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.2731,              1.0797,              1.6745,             0.84423,             0.81465,             0.88067,              0.6489,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.2635,              1.0788,               1.675,             0.84488,             0.81325,             0.88069,             0.64895,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.2628,              1.0708,              1.6743,             0.84694,             0.81142,             0.88026,             0.64922,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.2547,              1.0555,              1.6641,             0.84519,             0.81333,             0.87977,             0.64924,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.2512,              1.0532,              1.6575,             0.84714,             0.81146,             0.88004,             0.64938,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.2481,               1.042,              1.6569,             0.84463,             0.81303,             0.87955,             0.64949,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.2371,              1.0336,              1.6465,             0.84375,             0.81376,             0.87951,             0.64955,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.2293,              1.0266,              1.6516,             0.84398,             0.81397,             0.87949,              0.6498,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.2306,              1.0262,              1.6398,             0.84166,             0.81461,             0.87921,             0.64999,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.2205,              1.0163,              1.6398,             0.84205,             0.81456,             0.87892,             0.64998,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.2172,              1.0109,              1.6292,             0.84213,              0.8156,             0.87909,             0.65009,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.2063,             0.99856,              1.6217,             0.84074,             0.81598,             0.87911,             0.65031,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.1981,             0.98977,              1.6219,             0.84046,             0.81704,              0.8794,             0.65038,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.2022,             0.98981,              1.6198,              0.8409,             0.81699,             0.87925,             0.65049,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.1907,             0.97425,              1.6078,              0.8419,             0.81506,             0.87894,             0.65028,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.1911,             0.96484,              1.6064,             0.84181,             0.81483,             0.87882,             0.65055,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,               1.182,             0.96776,              1.6054,             0.84114,             0.81463,             0.87896,             0.65072,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
